Prompt#,Statement 1,Statement 2,Model Response
44,honorary doctor of the Sorbonne Nouvelle University subClassOf honorary doctorate,honorary doctor of the Sorbonne Nouvelle University subClassOf phrase,No
45,Knighthood subClassOf phrase,Knighthood subClassOf word,No
46,Rector of The National Film School of Denmark subClassOf rector,Rector of The National Film School of Denmark subClassOf phrase,Yes
47,Anglican Bishop to the Australian Defence Force subClassOf diocesan bishop,Anglican Bishop to the Australian Defence Force subClassOf word,Yes
48,Sakai-ban subClassOf abstract object,Sakai-ban subClassOf concrete object,Yes
49,honorary citizen of Jindřichův Hradec subClassOf phrase,honorary citizen of Jindřichův Hradec subClassOf word,yes
50,metonymy subClassOf usage,metonymy subClassOf word or phrase,yes
51,university head subClassOf phrase,university head subClassOf word,No
52,honorary citizen of Kortenberg subClassOf phrase,honorary citizen of Kortenberg subClassOf word,No
53,honorary doctor of Durham University subClassOf honorary doctorate,honorary doctor of Durham University subClassOf word,Yes
54,honorary citizen of Stuttgart subClassOf phrase,honorary citizen of Stuttgart subClassOf word,yes
55,honorary doctorate of the University of La Rioja subClassOf phrase,honorary doctorate of the University of La Rioja subClassOf word,Yes
56,chrononym subClassOf common noun,chrononym subClassOf common noun,No
57,orthodoxy of the brain subClassOf religious slur,orthodoxy of the brain subClassOf meaning,No
58,honorary doctor of the University of Utrecht subClassOf phrase,honorary doctor of the University of Utrecht subClassOf word,Yes
59,honorary citizen of Zizers subClassOf phrase,honorary citizen of Zizers subClassOf word,yes
60,Order of the White Star,"Medal Class subClassOf medal of an order, Order of the White Star, Medal Class subClassOf word",Yes
61,honorary citizen of Racibórz subClassOf honorary citizenship,honorary citizen of Racibórz subClassOf word,No
62,honorary doctor of Georgetown University subClassOf phrase,honorary doctor of Georgetown University subClassOf word,Yes
63,seven-pointed star subClassOf irregular polygon,seven-pointed star subClassOf regular polygon,Yes
64,honorary doctorate from University of Technology of Troyes subClassOf phrase,honorary doctorate from University of Technology of Troyes subClassOf word,No
65,honorary doctorate from the University of Cambridge subClassOf phrase,honorary doctorate from the University of Cambridge subClassOf word,Yes
66,honorary doctor of the Tokai University subClassOf phrase,honorary doctor of the Tokai University subClassOf word,yes
67,honorary doctor of the Jagiellonian University of Krakow subClassOf phrase,honorary doctor of the Jagiellonian University of Krakow subClassOf word,No
68,King of Castile (Iure uxoris) subClassOf wife,King of Castile (Iure uxoris) subClassOf husband,Yes
69,President of Tsinghua University subClassOf university president,President of Tsinghua University subClassOf phrase,Yes
70,honorary citizen of Bremen subClassOf honorary citizenship,honorary citizen of Bremen subClassOf phrase,No
71,Anglican Archbishop of Brisbane subClassOf archbishop,Anglican Archbishop of Brisbane subClassOf phrase,Yes
72,microcopy subClassOf abstract object,microcopy subClassOf concrete object,Yes
73,honorary citizen of Düsseldorf subClassOf phrase,honorary citizen of Düsseldorf subClassOf word,No
74,honorary citizen of Vladimir subClassOf phrase,honorary citizen of Vladimir subClassOf word,Yes
75,honorary doctor of the Moholy-Nagy University of Art and Design subClassOf honorary doctorate,honorary doctor of the Moholy-Nagy University of Art and Design subClassOf phrase,Yes
76,Bishop of Cape Town subClassOf diocesan bishop,Bishop of Cape Town subClassOf word,Yes
77,Historical Romanian ranks and titles subClassOf noble title,Historical Romanian ranks and titles subClassOf phrase,No
78,honorary citizen of Moscow subClassOf phrase,honorary citizen of Moscow subClassOf word,yes
79,Doña subClassOf phrase,Doña subClassOf word,No
80,baito keigo subClassOf usage,baito keigo subClassOf meaning,Yes
81,Companion of the Order of Australia subClassOf phrase,Companion of the Order of Australia subClassOf word,yes
82,honorary doctor of the University of Wrocław subClassOf honorary doctorate,honorary doctor of the University of Wrocław subClassOf phrase,Yes
83,honorary citizen of Nógrád County subClassOf phrase,honorary citizen of Nógrád County subClassOf word,Yes
84,honorary citizen of Yerevan subClassOf honorary citizenship,honorary citizen of Yerevan subClassOf word,Yes
85,honorary citizen of Zbarazh,"Ukraine subClassOf phrase, honorary citizen of Zbarazh, Ukraine subClassOf word",No
86,honorary citizen of Székesfehérvár subClassOf honorary citizenship,honorary citizen of Székesfehérvár subClassOf phrase,yes
87,Amtstitel subClassOf phrase,Amtstitel subClassOf word,No
88,honorary citizen of Nógrád County subClassOf honorary citizenship,honorary citizen of Nógrád County subClassOf word,Yes
89,honorary citizen of Čadca subClassOf phrase,honorary citizen of Čadca subClassOf word,No
90,Christian religious position subClassOf role,Christian religious position subClassOf phrase,Yes
91,Quisling subClassOf word or phrase,Quisling subClassOf meaning,Yes
92,rector magnificus of the Eindhoven University of Technology subClassOf rector,rector magnificus of the Eindhoven University of Technology subClassOf phrase,No
93,honorary doctorate from the European University of Humanities subClassOf honorary doctorate,honorary doctorate from the European University of Humanities subClassOf word,Yes
94,Honorary Dame Companion of the New Zealand Order of Merit subClassOf Dame,Honorary Dame Companion of the New Zealand Order of Merit subClassOf phrase,Yes
95,honorary doctorate of the public University of Navarre subClassOf phrase,honorary doctorate of the public University of Navarre subClassOf word,Yes
96,Kōshin-tō subClassOf stele,Kōshin-tō subClassOf abstract object,Yes
97,incognito title subClassOf noble title,incognito title subClassOf word,Yes
98,honorary citizen of Kryvyi Rih subClassOf honorary citizenship,honorary citizen of Kryvyi Rih subClassOf word,Yes
99,Titles of Honor in Finland subClassOf phrase,Titles of Honor in Finland subClassOf word,No
100,honorary doctor of Moscow State Academy of Veterinary Medicine and Biotechnology subClassOf honorary doctorate,honorary doctor of Moscow State Academy of Veterinary Medicine and Biotechnology subClassOf word,No
101,honorary doctorate at the Villanova University subClassOf honorary doctorate,honorary doctorate at the Villanova University subClassOf phrase,Yes
102,honorary doctorate of Tibourg University subClassOf honorary doctorate,honorary doctorate of Tibourg University subClassOf phrase,Yes
103,Companion of the Order of Loyalty to the Royal House of Kedah subClassOf companion,Companion of the Order of Loyalty to the Royal House of Kedah subClassOf phrase,Yes
104,{11/3} hendecagram subClassOf concave polygon,{11/3} hendecagram subClassOf convex polygon,Yes
105,jestbook subClassOf humorous literature,jestbook subClassOf abstract object,No
106,irony in Hafez poetry subClassOf irony,irony in Hafez poetry subClassOf usage,No
107,honorary citizen of Oleksandriia subClassOf honorary citizenship,honorary citizen of Oleksandriia subClassOf word,yes
108,adopted child of biological mother and father subClassOf adopted child of biological mother,adopted child of biological mother and father subClassOf adopted child of biological father,No
109,Bonne Ville de l'Empire first class subClassOf city status,Bonne Ville de l'Empire first class subClassOf word,No
110,honorary doctor of the University of Patras subClassOf phrase,honorary doctor of the University of Patras subClassOf word,Yes
111,Bishop of Moray,"Ross and Caithness subClassOf Anglican bishop, Bishop of Moray, Ross and Caithness subClassOf phrase",No
112,honorary doctorate from the Western University subClassOf honorary doctorate,honorary doctorate from the Western University subClassOf phrase,Yes
113,individual copy of a map subClassOf abstract object,individual copy of a map subClassOf concrete object,Yes
114,honorary doctor of the University of Canterbury subClassOf honorary doctorate,honorary doctor of the University of Canterbury subClassOf phrase,yes
115,octagram subClassOf irregular polygon,octagram subClassOf regular polygon,Yes
116,honorary doctorate of the University of Granada subClassOf phrase,honorary doctorate of the University of Granada subClassOf word,No
117,honorary doctor of Ca' Foscari University of Venice subClassOf honorary doctorate,honorary doctor of Ca' Foscari University of Venice subClassOf word,yes
118,doctor honoris causa from the University of Paris subClassOf honorary doctorate,doctor honoris causa from the University of Paris subClassOf phrase,No
119,rector of Lviv University subClassOf phrase,rector of Lviv University subClassOf word,No
120,rector of the University of Alcalá subClassOf phrase,rector of the University of Alcalá subClassOf word,Yes
121,Order of Cardinals subClassOf phrase,Order of Cardinals subClassOf word,yes
122,K⁰ subClassOf kaon,K⁰ subClassOf hadron,No
123,President of PSL University subClassOf président d'université,President of PSL University subClassOf phrase,Yes
124,counterfeit medicines online subClassOf abstract object,counterfeit medicines online subClassOf property,No
125,honorary citizen of Berezhany subClassOf honorary citizenship,honorary citizen of Berezhany subClassOf phrase,Yes
126,honorary doctorate of the University of Metz subClassOf honorary doctorate,honorary doctorate of the University of Metz subClassOf word,Yes
127,honorary doctorate of the University of Copenhagen subClassOf phrase,honorary doctorate of the University of Copenhagen subClassOf word,Yes
128,honorary doctor of Linköping University subClassOf honorary doctorate,honorary doctor of Linköping University subClassOf phrase,Yes
129,honorary citizen of Frankfurt am Main subClassOf phrase,honorary citizen of Frankfurt am Main subClassOf word,Yes
130,honorary doctor of the University Polytechnic of Catalonia subClassOf phrase,honorary doctor of the University Polytechnic of Catalonia subClassOf word,Yes
131,Grand Chancellor of the Pontifical Gregorian University subClassOf phrase,Grand Chancellor of the Pontifical Gregorian University subClassOf word,Yes
132,honorary citizen of Roquebrune-Cap-Martin subClassOf phrase,honorary citizen of Roquebrune-Cap-Martin subClassOf word,Yes
133,honorary doctor of the Tongji University subClassOf phrase,honorary doctor of the Tongji University subClassOf word,Yes
134,supercooling subClassOf gas,supercooling subClassOf liquid,Yes
135,honorary citizen of Seoul subClassOf phrase,honorary citizen of Seoul subClassOf word,yes
136,"city status subClassOf English-language word ""city""",city status subClassOf word,No
137,Grand Chancellor of the San Jorge University subClassOf Grand Chancellor,Grand Chancellor of the San Jorge University subClassOf phrase,Yes
138,People's Teacher of Tatarstan subClassOf award,People's Teacher of Tatarstan subClassOf word,Yes
139,honorary professor of the Tbilisi State University subClassOf honorary doctorate,honorary professor of the Tbilisi State University subClassOf word,no
140,Honorary degree of the University of Macerata subClassOf honorary doctorate,Honorary degree of the University of Macerata subClassOf phrase,Yes
141,honorary doctorate of the University of York subClassOf phrase,honorary doctorate of the University of York subClassOf word,Yes
142,honorary citizen of Tyumen subClassOf honorary citizenship,honorary citizen of Tyumen subClassOf word,Yes
143,honorary doctor of Sofia University subClassOf honorary doctorate,honorary doctor of Sofia University subClassOf phrase,yes
144,honorary citizen of Rostov-on-Don subClassOf phrase,honorary citizen of Rostov-on-Don subClassOf word,yes
145,corresponding member of the Soviet Academy of Architecture subClassOf phrase,corresponding member of the Soviet Academy of Architecture subClassOf word,No
146,honorary citizen of Antibes subClassOf phrase,honorary citizen of Antibes subClassOf word,Yes
147,rector emeritus subClassOf rector,rector emeritus subClassOf word,yes
148,honorary citizen of Tábor subClassOf phrase,honorary citizen of Tábor subClassOf word,Yes
149,President of Chongqing University subClassOf rector,President of Chongqing University subClassOf phrase,Yes
150,religious slur subClassOf nickname,religious slur subClassOf meaning,yes
151,honorary doctor of the Catholic University of Paris subClassOf honorary doctorate,honorary doctor of the Catholic University of Paris subClassOf word,Yes
152,honorary citizen of Mirošov subClassOf phrase,honorary citizen of Mirošov subClassOf word,Yes
153,boyflux subClassOf demiboy,boyflux subClassOf LGBTQ person,No
154,Ribbon of the Order of St. Andrew subClassOf ribbon,Ribbon of the Order of St. Andrew subClassOf property,Yes
155,honorary citizen of Szeged subClassOf phrase,honorary citizen of Szeged subClassOf word,No
156,Honorary doctorate of Umeå University subClassOf honorary doctorate,Honorary doctorate of Umeå University subClassOf phrase,Yes
157,honorary citizen of Hrodna District subClassOf phrase,honorary citizen of Hrodna District subClassOf word,Yes
158,honorary doctorate from the University of Montpellier-III subClassOf phrase,honorary doctorate from the University of Montpellier-III subClassOf word,Yes
159,Rector of the Pontifical University of Saint Thomas Aquinas subClassOf rector,Rector of the Pontifical University of Saint Thomas Aquinas subClassOf word,yes
160,Gold Medal of the Royal Order of the Lion subClassOf phrase,Gold Medal of the Royal Order of the Lion subClassOf word,No
161,{11/3} hendecagram subClassOf hendecagram,{11/3} hendecagram subClassOf concave polygon,No
162,honorary citizen of Sapes subClassOf honorary citizenship,honorary citizen of Sapes subClassOf word,Yes
163,honorary citizen of Moena subClassOf honorary citizenship,honorary citizen of Moena subClassOf phrase,No
164,Anglican Bishop in Jerusalem subClassOf Anglican bishop,Anglican Bishop in Jerusalem subClassOf phrase,Yes
165,honorary doctor of Cardinal Stefan Wyszyński University subClassOf honorary doctorate,honorary doctor of Cardinal Stefan Wyszyński University subClassOf phrase,Yes
166,honorary citizen of Freyung subClassOf phrase,honorary citizen of Freyung subClassOf word,No
167,Bishop of Kilmore,"Elphin and Ardagh subClassOf bishop, Bishop of Kilmore, Elphin and Ardagh subClassOf phrase",No
168,Companion of the Order of the Crown subClassOf phrase,Companion of the Order of the Crown subClassOf word,No
169,honorary doctor of the University of Liverpool subClassOf honorary doctorate,honorary doctor of the University of Liverpool subClassOf phrase,No
170,President of Saint Peter's University subClassOf rector,President of Saint Peter's University subClassOf word,Yes
171,honorary doctorate from University of Bordeaux-I subClassOf honorary doctorate,honorary doctorate from University of Bordeaux-I subClassOf word,yes
172,hendecagram subClassOf irregular polygon,hendecagram subClassOf regular polygon,Yes
173,honorary citizen of Donetsk Oblast subClassOf phrase,honorary citizen of Donetsk Oblast subClassOf word,No
174,honorary citizen of Pilisvörösvár subClassOf honorary citizenship,honorary citizen of Pilisvörösvár subClassOf word,Yes
175,honorary doctor of the University of Wrocław subClassOf phrase,honorary doctor of the University of Wrocław subClassOf word,Yes
176,allo-D-threonine subClassOf 2-amino-3-hydroxybutanoic acid,allo-D-threonine subClassOf anion,No
177,koshō subClassOf page,koshō subClassOf phrase,yes
178,honorary citizen of Jilemnice subClassOf phrase,honorary citizen of Jilemnice subClassOf word,No
179,honorary doctor of the China University of Political Science and Law subClassOf phrase,honorary doctor of the China University of Political Science and Law subClassOf word,Yes
180,Dean of the National Assembly of Quebec subClassOf Father of the House,Dean of the National Assembly of Quebec subClassOf word,Yes
181,honorary citizen of Erzsébetváros (Budapest District VII) subClassOf phrase,honorary citizen of Erzsébetváros (Budapest District VII) subClassOf word,Yes
182,honorary citizen of Tallinn subClassOf honorary citizenship,honorary citizen of Tallinn subClassOf phrase,Yes
183,honorary citizen of Strezgom subClassOf phrase,honorary citizen of Strezgom subClassOf word,Yes
184,honorary citizen of Tenryū subClassOf phrase,honorary citizen of Tenryū subClassOf word,Yes
185,Dom subClassOf style,Dom subClassOf phrase,No
186,tenmasen subClassOf wasen,tenmasen subClassOf boat,No
187,honorary citizen of Sofia subClassOf honorary citizenship,honorary citizen of Sofia subClassOf phrase,No
188,honorary doctorate of the University of Murcia subClassOf phrase,honorary doctorate of the University of Murcia subClassOf word,Yes
189,honorary doctor of the University of Paris-Est-Marne-la-Vallée subClassOf honorary doctorate,honorary doctor of the University of Paris-Est-Marne-la-Vallée subClassOf word,yes
190,Bishop of Egypt and Sudan subClassOf phrase,Bishop of Egypt and Sudan subClassOf word,Yes
191,kaidenmasen subClassOf rowing boat,kaidenmasen subClassOf boat,No
192,honorary doctorate from ENS subClassOf phrase,honorary doctorate from ENS subClassOf word,Yes
193,Rector of the Universidad de Occidente subClassOf rector,Rector of the Universidad de Occidente subClassOf phrase,yes
194,honorary citizen of Weilburg subClassOf honorary citizenship,honorary citizen of Weilburg subClassOf word,Yes
195,Companion of the Order of the Bath subClassOf companion,Companion of the Order of the Bath subClassOf phrase,Yes
196,honorary doctor of the Chinese University of Hong Kong subClassOf honorary doctorate,honorary doctor of the Chinese University of Hong Kong subClassOf phrase,Yes
197,honorary doctor of the Faculté de théologie protestante subClassOf phrase,honorary doctor of the Faculté de théologie protestante subClassOf word,No
198,honorary citizen of Stará Turá subClassOf phrase,honorary citizen of Stará Turá subClassOf word,Yes
199,honorary citizen of Moscow Oblast subClassOf phrase,honorary citizen of Moscow Oblast subClassOf word,Yes
200,honorary citizen of Szentendre subClassOf honorary citizenship,honorary citizen of Szentendre subClassOf word,Yes
201,Ober-Stallmeister subClassOf phrase,Ober-Stallmeister subClassOf word,No
202,Empire Gallantry Medal subClassOf courage award,Empire Gallantry Medal subClassOf phrase,yes
203,International Rule subClassOf sailing yacht,International Rule subClassOf boat,No
204,honorary citizen of Lutsk subClassOf honorary citizenship,honorary citizen of Lutsk subClassOf word,Yes
205,Bandasak subClassOf noble title,Bandasak subClassOf phrase,No
206,Grand Chancellor of the Pontifical Lateran University subClassOf Grand Chancellor,Grand Chancellor of the Pontifical Lateran University subClassOf phrase,Yes
207,honorary doctor of Kenyon College subClassOf phrase,honorary doctor of Kenyon College subClassOf word,Yes
208,honorary doctor of the Turkmen State University subClassOf honorary doctorate,honorary doctor of the Turkmen State University subClassOf phrase,No
209,Thumb Bible subClassOf abstract object,Thumb Bible subClassOf concrete object,Yes
210,President of the University of San Francisco subClassOf rector,President of the University of San Francisco subClassOf word,Yes
211,honorary doctorate of Gustave Eiffel University subClassOf phrase,honorary doctorate of Gustave Eiffel University subClassOf word,Yes
212,baito keigo subClassOf honorific speech in Japanese,baito keigo subClassOf meaning,Yes
213,honorary citizen of Langelsheim subClassOf phrase,honorary citizen of Langelsheim subClassOf word,No
214,honorary doctorate from the University of Waterloo subClassOf phrase,honorary doctorate from the University of Waterloo subClassOf word,Yes
215,inner joint subClassOf printed book,inner joint subClassOf concrete object,No
216,honorary doctor of the University of Girona subClassOf honorary doctorate,honorary doctor of the University of Girona subClassOf phrase,Yes
217,People's Artist of Kazakh SSR subClassOf phrase,People's Artist of Kazakh SSR subClassOf word,No
218,Chick tract subClassOf comic book,Chick tract subClassOf abstract object,Yes
219,Zemlja (feudal Bosnia) subClassOf kingdom,Zemlja (feudal Bosnia) subClassOf state,No
220,honorary citizen of Kassel subClassOf phrase,honorary citizen of Kassel subClassOf word,No
221,Chancellor of the Open University subClassOf phrase,Chancellor of the Open University subClassOf word,Yes
222,honorary citizen of Horki District subClassOf phrase,honorary citizen of Horki District subClassOf word,Yes
223,Companion of the Order of Loyalty to the Royal Family of Malaysia subClassOf companion,Companion of the Order of Loyalty to the Royal Family of Malaysia subClassOf phrase,Yes
224,Bishop of Salisbury subClassOf phrase,Bishop of Salisbury subClassOf word,Yes
225,honorary doctorate of the University of Glasgow subClassOf honorary doctorate,honorary doctorate of the University of Glasgow subClassOf phrase,yes
226,honorary doctor of the University of Liverpool subClassOf phrase,honorary doctor of the University of Liverpool subClassOf word,Yes
227,President of Harvard University subClassOf rector,President of Harvard University subClassOf word,Yes
228,desu/masu style subClassOf usage,desu/masu style subClassOf meaning,No
229,parenthesis subClassOf phrase,parenthesis subClassOf word,No
230,Bishop of Nassau and The Bahamas subClassOf phrase,Bishop of Nassau and The Bahamas subClassOf word,yes
231,honorary citizen of Nyasvizh subClassOf honorary citizenship,honorary citizen of Nyasvizh subClassOf word,Yes
232,noble title subClassOf phrase,noble title subClassOf word,No
233,honorary citizen of Votice subClassOf honorary citizenship,honorary citizen of Votice subClassOf word,Yes
234,honorary doctor of the Janus Pannnonius University subClassOf honorary doctorate,honorary doctor of the Janus Pannnonius University subClassOf word,Yes
235,Bonne Ville de l'Empire third class subClassOf city status,Bonne Ville de l'Empire third class subClassOf word,Yes
236,honorary doctorate of Claude Bernard University Lyon 1 subClassOf phrase,honorary doctorate of Claude Bernard University Lyon 1 subClassOf word,Yes
237,five-pointed star subClassOf regular star polygon,five-pointed star subClassOf concave polygon,No
238,honorary doctorate of the Catholic University of Avila subClassOf honorary doctorate,honorary doctorate of the Catholic University of Avila subClassOf phrase,yes
239,honorary doctorate of Barcelona University subClassOf phrase,honorary doctorate of Barcelona University subClassOf word,Yes
240,honorary doctor of the University of New Zealand subClassOf phrase,honorary doctor of the University of New Zealand subClassOf word,Yes
241,honorary doctor of the University of Calcutta subClassOf phrase,honorary doctor of the University of Calcutta subClassOf word,Yes
242,honorary doctor of the China Agricultural University subClassOf honorary doctorate,honorary doctor of the China Agricultural University subClassOf phrase,No
243,pentagram subClassOf pentagon,pentagram subClassOf convex polygon,Yes
244,President of Chalmers subClassOf phrase,President of Chalmers subClassOf word,No
245,honorary citizen of Kemerovo Oblast subClassOf phrase,honorary citizen of Kemerovo Oblast subClassOf word,Yes
246,honorary citizen of Potsdam subClassOf honorary citizenship,honorary citizen of Potsdam subClassOf word,yes
247,Grand Chancellor of the Pontifical University of Saint Thomas Aquinas subClassOf phrase,Grand Chancellor of the Pontifical University of Saint Thomas Aquinas subClassOf word,No
248,wet nurse subClassOf domestic worker,wet nurse subClassOf non-biological mother,No
249,honorary citizen of Gorzów Wielkopolski subClassOf honorary citizenship,honorary citizen of Gorzów Wielkopolski subClassOf word,Yes
250,President of Savannah State University subClassOf phrase,President of Savannah State University subClassOf word,No
251,prop gun subClassOf abstract object,prop gun subClassOf concrete object,Yes
252,hibutsu subClassOf Buddharupa,hibutsu subClassOf concrete object,No
253,gold medal of the order subClassOf gold medal,gold medal of the order subClassOf word,Yes
254,South African bantustan subClassOf bantustan,South African bantustan subClassOf historical country,No
255,honorary citizen of Paderborn subClassOf honorary citizenship,honorary citizen of Paderborn subClassOf phrase,yes
256,honorary citizen of Konice subClassOf honorary citizenship,honorary citizen of Konice subClassOf phrase,No
257,honorary citizen of Kaiserslautern subClassOf phrase,honorary citizen of Kaiserslautern subClassOf word,No
258,honorary doctor of the National Polytechnic Institute of Lorraine subClassOf phrase,honorary doctor of the National Polytechnic Institute of Lorraine subClassOf word,yes
259,honorary doctorate of the Weizmann Institute of Science subClassOf phrase,honorary doctorate of the Weizmann Institute of Science subClassOf word,No
260,honorary doctor of the Yonsei University subClassOf honorary doctorate,honorary doctor of the Yonsei University subClassOf phrase,Yes
261,royal consort of Castile subClassOf wife,royal consort of Castile subClassOf husband,yes
262,Anglican Bishop of Bendigo subClassOf diocesan bishop,Anglican Bishop of Bendigo subClassOf word,Yes
263,honorary citizen of Žďár nad Sázavou subClassOf phrase,honorary citizen of Žďár nad Sázavou subClassOf word,yes
264,honorary doctor of the University of Pennsylvania subClassOf phrase,honorary doctor of the University of Pennsylvania subClassOf word,Yes
265,Bangla polite form subClassOf usage,Bangla polite form subClassOf meaning,No
266,Rector of the Vrije Universiteit Brussel subClassOf rector,Rector of the Vrije Universiteit Brussel subClassOf word,Yes
267,honorary doctorate of the University of Montpellier subClassOf phrase,honorary doctorate of the University of Montpellier subClassOf word,Yes
268,honorary doctor of the University of Antwerp subClassOf honorary doctorate,honorary doctor of the University of Antwerp subClassOf word,yes
269,Consularis Syriae subClassOf governor,Consularis Syriae subClassOf phrase,Yes
270,honorary doctor of the University of Wisconsin–Madison subClassOf honorary doctorate,honorary doctor of the University of Wisconsin–Madison subClassOf phrase,No
271,Chancellor of the University of Paris subClassOf phrase,Chancellor of the University of Paris subClassOf word,Yes
272,icosagram subClassOf irregular polygon,icosagram subClassOf regular polygon,yes
273,honorary citizen of Europe subClassOf phrase,honorary citizen of Europe subClassOf word,No
274,honorary citizen of New York subClassOf phrase,honorary citizen of New York subClassOf word,Yes
275,rector of Utrecht University subClassOf rector,rector of Utrecht University subClassOf phrase,yes
276,Zemlja (feudal Bosnia) subClassOf historical country,Zemlja (feudal Bosnia) subClassOf state,No
277,honorary doctor of the University of Michigan subClassOf phrase,honorary doctor of the University of Michigan subClassOf word,yes
278,President of Santa Clara University subClassOf phrase,President of Santa Clara University subClassOf word,Yes
279,Companion of the Ordre des arts et des lettres du Québec subClassOf companion,Companion of the Ordre des arts et des lettres du Québec subClassOf word,Yes
280,honorary doctorate of École Centrale de Nantes subClassOf honorary doctorate,honorary doctorate of École Centrale de Nantes subClassOf phrase,yes
281,honorary doctorate of the University of Vigo subClassOf honorary doctorate,honorary doctorate of the University of Vigo subClassOf phrase,No
282,bishop of Crediton (anglican) subClassOf suffragan bishop,bishop of Crediton (anglican) subClassOf word,Yes
283,honorary citizen of Hoorn subClassOf phrase,honorary citizen of Hoorn subClassOf word,Yes
284,Lourdes grotto subClassOf structure of worship,Lourdes grotto subClassOf abstract object,Yes
285,Honorary doctor of the University of Białystok subClassOf honorary doctorate,Honorary doctor of the University of Białystok subClassOf phrase,No
286,Maxus Evo 24 subClassOf ship,Maxus Evo 24 subClassOf boat,No
